縣市,郵遞區號,鄉鎮區,Latitude,Longitude,英文,藍新金流
嘉義縣,603,嘉義縣梅山鄉,23.5410247,120.6890055,"Meishan Township, Chiayi County",嘉縣
嘉義縣,604,嘉義縣竹崎鄉,23.5049724,120.6084832,"Zhuqi Township, Chiayi County",嘉縣
嘉義縣,605,嘉義縣阿里山鄉,23.4354677,120.7809676,"Alishan Township, Chiayi County",嘉縣
嘉義縣,606,嘉義縣中埔鄉,23.3995944,120.5509358,"Zhongpu Township, Chiayi County",嘉縣
嘉義縣,607,嘉義縣大埔鄉,23.3040182,120.5969758,"Dapu Township, Chiayi County",嘉縣
嘉義縣,608,嘉義縣水上鄉,23.4287422,120.4001659,"Shuishang Township, Chiayi County",嘉縣
嘉義縣,611,嘉義縣鹿草鄉,23.419257,120.3089541,"Lucao Township, Chiayi County",嘉縣
嘉義縣,612,嘉義縣太保市,23.4964492,120.3837086,"Taibao City, Chiayi County",嘉縣
嘉義縣,613,嘉義縣朴子市,23.4464152,120.2570421,"Puzi City, Chiayi County",嘉縣
嘉義縣,614,嘉義縣東石鄉,23.4701923,120.1704766,"Dongshi Township, Chiayi County",嘉縣
嘉義縣,615,嘉義縣六腳鄉,23.529833,120.2873266,"Liujiao Township, Chiayi County",嘉縣
嘉義縣,616,嘉義縣新港鄉,23.538123,120.3550808,"Xingang Township, Chiayi County",嘉縣
嘉義縣,621,嘉義縣民雄鄉,23.5203579,120.440409,"Minxiong Township, Chiayi County",嘉縣
嘉義縣,622,嘉義縣大林鎮,23.6040709,120.4542004,"Dalin Township, Chiayi County",嘉縣
嘉義縣,623,嘉義縣溪口鄉,23.5925564,120.4011911,"Xikou Township, Chiayi County",嘉縣
嘉義縣,624,嘉義縣義竹鄉,23.3530108,120.2166519,"Yizhu Township, Chiayi County",嘉縣
嘉義縣,625,嘉義縣布袋鎮,23.3627901,120.1704766,"Budai Township, Chiayi County",嘉縣
台南市,700,台南市中西區,22.9948212,120.1964522,"West Central Dist., Tainan City",南市
台南市,701,台南市東區,22.98133,120.2224227,"East Dist., Tainan City",南市
台南市,702,台南市南區,22.9563522,120.1877943,"South Dist., Tainan City",南市
台南市,704,台南市北區,23.008515,120.2079953,"North Dist., Tainan City",南市
台南市,708,台南市安平區,22.9934184,120.1647112,"Anping Dist., Tainan City",南市
台南市,709,台南市安南區,23.0585336,120.1358346,"Annan Dist., Tainan City",南市
台南市,710,台南市永康區,23.0211799,120.262788,"Yongkang Dist., Tainan City",南市
台南市,711,台南市歸仁區,22.9519268,120.2858846,"Guiren Dist., Tainan City",南市
台南市,712,台南市新化區,23.0280873,120.3320195,"Xinhua Dist., Tainan City",南市
台南市,713,台南市左鎮區,23.0300785,120.4242401,"Zuozhen Dist., Tainan City",南市
台南市,714,台南市玉井區,23.1060822,120.4703258,"Yujing Dist., Tainan City",南市
台南市,715,台南市楠西區,23.1820152,120.5163949,"Nanxi Dist., Tainan City",南市
